transaction_id,grade,purchase_price_per_kg,sale_price_per_kg,quantity_kg,time_difference_days,price_markup_ratio,merchant_experience_years,market_volatility,season,floor_location,hour_of_day,is_fraud
TXN000000,T3,2.04,2.36,217.89,6.18,1.161,6.0,0.154,peak,gweru,12,0
TXN000001,H2,1.37,1.47,1610.65,9.82,1.075,2.7,0.162,peak,mutare,12,0
TXN000002,A3,4.55,5.6,417.09,8.31,1.231,5.0,0.094,off_peak,chinhoyi,6,0
TXN000003,T2,2.02,2.2,442.69,6.13,1.093,10.7,0.126,peak,bulawayo,17,0
TXN000004,B1,1.04,0.97,161.52,5.73,0.939,0.3,0.164,peak,gweru,10,0
TXN000005,X5,0.97,0.98,407.85,9.03,1.012,15.9,0.217,peak,mutare,10,0
TXN000006,B2,0.78,0.9,666.59,3.88,1.162,2.0,0.196,off_peak,mutare,9,0
TXN000007,L1,5.0,5.43,59.17,8.75,1.086,24.9,0.097,off_peak,harare,18,0
TXN000008,T1,3.32,3.47,352.97,1.87,1.045,1.0,0.325,peak,bulawayo,16,0
TXN000009,T2,2.6,2.42,50.0,6.64,0.931,3.4,0.163,off_peak,bulawayo,12,0
TXN000010,H2,1.48,1.7,382.64,1.42,1.155,0.8,0.232,peak,chinhoyi,19,0
TXN000011,T1,2.83,3.07,316.85,5.91,1.084,6.1,0.188,peak,bulawayo,14,0
TXN000012,X2,2.48,2.94,617.35,6.22,1.185,0.6,0.174,off_peak,chinhoyi,11,0
TXN000013,L2,3.77,4.59,567.67,8.08,1.216,0.6,0.108,off_peak,gweru,10,0
TXN000014,T1,2.81,3.17,665.42,11.24,1.131,2.4,0.201,off_peak,harare,10,0
TXN000015,H2,1.46,1.94,1644.97,7.95,1.327,4.8,0.158,peak,chinhoyi,12,0
TXN000016,T3,2.1,2.35,50.0,11.9,1.119,10.3,0.142,peak,harare,11,0
TXN000017,T2,2.64,3.19,660.25,4.9,1.209,1.7,0.122,off_peak,bulawayo,8,0
TXN000018,H2,1.04,1.35,74.52,6.46,1.293,13.4,0.174,off_peak,harare,23,1
TXN000019,L3,3.4,4.33,1025.97,8.28,1.271,4.0,0.149,off_peak,harare,14,0
TXN000020,L1,4.97,4.94,197.77,7.41,0.993,1.8,0.182,peak,mutare,0,0
TXN000021,H3,1.31,1.6,1020.82,10.3,1.227,1.9,0.163,off_peak,mutare,10,0
TXN000022,A1,5.33,6.5,173.41,3.72,1.219,6.2,0.215,off_peak,mutare,12,0
TXN000023,T3,2.05,2.51,459.38,2.75,1.227,11.1,0.151,off_peak,harare,11,0
TXN000024,H1,1.13,2.62,35.32,2.41,2.323,10.8,0.174,off_peak,bulawayo,9,1
TXN000025,H3,1.54,1.75,867.13,5.78,1.135,11.9,0.125,peak,harare,9,0
TXN000026,L4,3.04,3.52,363.5,5.38,1.157,1.1,0.171,off_peak,chinhoyi,12,0
TXN000027,L4,2.43,3.01,629.45,10.64,1.239,4.9,0.023,off_peak,mutare,11,0
TXN000028,L1,2.72,4.3,186.23,7.98,1.581,1.3,0.169,peak,mutare,9,1
TXN000029,H3,1.27,1.49,1142.81,8.08,1.174,3.6,0.138,peak,mutare,8,0
TXN000030,X1,3.5,4.07,448.55,2.23,1.164,0.1,0.195,off_peak,bulawayo,9,0
TXN000031,L3,1.89,2.89,20.0,2.82,1.528,0.1,0.121,off_peak,harare,15,1
TXN000032,X1,3.26,4.1,276.0,4.32,1.255,14.7,0.096,off_peak,chinhoyi,10,0
TXN000033,H1,1.88,2.37,83.06,8.81,1.26,8.9,0.217,off_peak,chinhoyi,10,0
TXN000034,H1,2.3,2.58,704.61,6.12,1.121,0.1,0.08,off_peak,bulawayo,12,0
TXN000035,T1,2.73,2.77,405.29,6.82,1.012,5.1,0.116,peak,mutare,17,0
TXN000036,L4,1.96,6.37,219.12,1.16,3.243,0.7,0.086,peak,chinhoyi,12,1
TXN000037,A3,3.97,4.12,52.14,8.84,1.037,1.5,0.119,peak,chinhoyi,10,0
TXN000038,A3,4.26,4.46,399.16,5.59,1.048,5.9,0.16,peak,mutare,10,0
TXN000039,H2,1.83,2.12,205.43,3.96,1.157,4.0,0.063,off_peak,bulawayo,7,0
TXN000040,L4,3.28,5.19,20.0,1.58,1.586,1.8,0.126,peak,gweru,11,1
TXN000041,X3,2.58,3.15,456.42,4.34,1.221,5.8,0.155,peak,harare,10,0
TXN000042,H3,1.17,1.44,50.0,7.51,1.234,0.6,0.133,off_peak,gweru,9,0
TXN000043,L2,3.85,4.21,843.13,3.84,1.093,1.6,0.133,off_peak,gweru,10,0
TXN000044,L4,3.07,3.0,830.15,4.83,0.977,5.4,0.165,peak,mutare,11,0
TXN000045,X1,1.59,4.08,145.57,3.81,2.568,5.5,0.152,off_peak,harare,9,1
TXN000046,A3,4.4,4.73,824.13,5.71,1.075,5.4,0.056,off_peak,harare,6,0
TXN000047,C1,2.31,2.66,853.52,4.93,1.151,2.9,0.14,peak,harare,11,0
TXN000048,C2,1.68,1.8,695.29,10.16,1.075,2.4,0.153,peak,mutare,8,0
TXN000049,T1,2.35,2.47,709.63,1.67,1.051,8.0,0.139,off_peak,chinhoyi,12,0
TXN000050,B2,0.5,1.29,51.43,2.31,2.571,8.0,0.145,off_peak,chinhoyi,10,1
TXN000051,X2,2.24,2.49,177.72,6.26,1.108,4.9,0.183,off_peak,chinhoyi,1,0
