grower_id,location,gender,loan_amount,hectarage,yields,merchant_contractor,side_marketer_effect,yield_per_ha,loan_per_ha,grade_normally_produced,mass_usually_produced_kg,default_level,default_prob
G00000,Manicaland,M,3146.53,2.67,2573.62,Intercontinental Leaf Tobacco,1.0,964.9,1179.7,B2,2628.3,1,0.629445
G00001,Masvingo,F,2060.31,0.29,156.23,Onhardt Tobacco (Pvt) Ltd,0.5,538.9,7107.0,B1,152.2,1,0.702398
G00002,Mashonaland West,F,244.47,2.3,2700.73,Zimbabwe Leaf Tobacco (ZLT),0.2,1174.2,106.3,C2,2679.5,0,0.01
G00003,Matabeleland South,M,3601.15,2.71,1996.61,Premium Leaf Zimbabwe,0.3,735.7,1326.9,L5,2066.4,1,0.538515
G00004,Manicaland,M,2428.23,1.67,2253.27,Onhardt Tobacco (Pvt) Ltd,0.1,1351.2,1456.2,A1,2184.8,1,0.477715
G00005,Mashonaland West,F,2814.13,1.14,549.52,Tian Ze Tobacco,0.3,482.1,2469.0,L1,532.4,1,0.677933
G00006,Mashonaland West,F,9975.94,6.74,7682.5,Premium Leaf Zimbabwe,0.3,1139.2,1479.2,C2,6649.1,1,0.378387
G00007,Matabeleland South,F,1406.32,7.9,5559.56,Tian Ze Tobacco,0.2,703.9,178.0,H2,6133.6,1,0.376343
G00008,Matabeleland South,F,5998.89,4.95,983.57,Zimbabwe Leaf Tobacco (ZLT),0.1,198.6,1211.5,T2,1128.4,1,0.759675
G00009,Masvingo,M,1135.5,1.94,1802.64,Shasha Tobacco (Pvt) Ltd,0.1,931.4,586.7,T2,1585.2,0,0.214344
G00010,Mashonaland Central,M,282.99,2.84,2644.71,Tobacco Sales Company (TSC),0.0,931.6,99.7,A1,2468.5,0,0.034255
G00011,Masvingo,F,1287.39,5.48,1041.55,Tian Ze Tobacco,0.5,190.1,235.0,A3,1245.9,1,0.628475
G00012,Mashonaland West,F,457.44,1.84,1063.59,Onhardt Tobacco (Pvt) Ltd,0.5,578.0,248.6,H1,1217.8,1,0.432297
G00013,Matabeleland South,F,4902.92,0.91,915.59,Shasha Tobacco (Pvt) Ltd,0.5,1008.3,5399.4,X1,928.6,1,0.6943
G00014,Mashonaland Central,M,1741.89,8.5,4833.15,Tian Ze Tobacco,0.1,568.3,204.8,C1,3974.2,1,0.39981
G00015,Masvingo,M,2155.22,2.76,2699.72,Aqua Tobacco (Pvt) Ltd,0.7,979.9,782.3,A3,2354.6,1,0.608239
G00016,Masvingo,F,4784.21,5.4,2953.76,Tobacco Sales Company (TSC),0.5,546.6,885.3,X1,2482.7,0,0.485818
G00017,Matabeleland South,M,773.51,8.09,5611.58,Onhardt Tobacco (Pvt) Ltd,0.5,693.4,95.6,A2,4834.5,1,0.706587
G00018,Mashonaland West,F,100.0,2.59,2173.58,Cut Rag Processors,0.5,840.2,38.7,L5,1903.9,1,0.233062
G00019,Matabeleland South,F,1369.47,1.96,1007.32,Northern Tobacco (Pvt) Ltd,0.1,513.4,697.9,X1,972.6,0,0.490541
G00020,Matabeleland South,F,14388.39,1.35,807.88,Zimbabwe Leaf Tobacco (ZLT),0.7,599.6,10678.1,H1,707.2,1,0.99
G00021,Mashonaland Central,M,1311.32,5.68,6805.1,Universal Leaf / ZLT,1.0,1197.1,230.7,H3,6141.9,0,0.229298
G00022,Mashonaland Central,F,46417.4,2.58,1624.21,Cut Rag Processors,0.5,630.4,18016.6,T3,1330.5,1,0.690305
G00023,Masvingo,F,489.11,3.25,3031.22,Shasha Tobacco (Pvt) Ltd,0.1,933.9,150.7,C1,2678.8,0,0.170029
G00024,Matabeleland South,F,4668.58,10.12,8358.08,Cut Rag Processors,1.0,826.1,461.5,L2,7680.1,0,0.534146
G00025,Manicaland,F,346.16,1.29,1977.41,Zimbabwe Leaf Tobacco (ZLT),1.0,1536.9,269.1,H3,2238.4,1,0.319171
G00026,Masvingo,F,1312.89,2.4,553.53,Shasha Tobacco (Pvt) Ltd,0.2,230.9,547.6,H3,616.4,1,0.745759
G00027,Masvingo,F,354.32,2.2,1680.06,Curverid Tobacco (Pvt) Ltd,1.0,765.0,161.3,L4,1445.7,1,0.697138
G00028,Mashonaland West,M,6862.51,5.91,5817.3,Premium Leaf Zimbabwe,0.5,983.9,1160.7,T2,5590.7,1,0.551526
G00029,Masvingo,F,1488.91,5.24,6210.65,Intercontinental Leaf Tobacco,0.3,1186.3,284.4,C2,5709.4,0,0.066331
G00030,Mashonaland Central,M,1526.98,2.51,2553.69,Northern Tobacco (Pvt) Ltd,0.5,1016.7,608.0,H1,2888.6,0,0.349019
G00031,Mashonaland Central,F,1364.64,1.46,2254.44,Mashonaland Tobacco Company (MTC),0.2,1547.5,936.7,H1,2085.3,0,0.076647
G00032,Manicaland,M,371.89,1.08,1354.06,Cut Rag Processors,0.0,1251.9,343.8,X3,1128.7,0,0.10902
G00033,Matabeleland South,F,219.08,0.21,63.23,Premium Leaf Zimbabwe,0.0,300.0,1039.5,L2,70.8,1,0.961859
G00034,Mashonaland West,F,100.0,6.98,5774.57,Northern Tobacco (Pvt) Ltd,0.7,827.6,14.3,X1,4806.4,0,0.426958
G00035,Matabeleland South,F,349.17,5.51,3083.75,Tian Ze Tobacco,0.3,559.4,63.3,L3,3232.9,1,0.499483
G00036,Mashonaland Central,M,4035.29,2.2,1116.87,Shasha Tobacco (Pvt) Ltd,0.0,507.1,1832.3,T3,1264.4,0,0.46397
G00037,Mashonaland West,M,278.11,6.7,2417.9,Intercontinental Leaf Tobacco,0.0,361.1,41.5,L1,2856.6,0,0.380423
G00038,Mashonaland West,M,2986.19,4.16,5314.84,Premium Leaf International,0.0,1278.1,718.1,C1,5378.2,1,0.183647
G00039,Matabeleland South,F,390.41,1.15,104.88,Aqua Tobacco (Pvt) Ltd,0.5,91.6,340.8,C2,112.0,0,0.648261
G00040,Mashonaland Central,M,5345.8,4.29,3319.63,Tian Ze Tobacco,0.3,774.4,1247.0,L3,3271.1,0,0.599819
G00041,Masvingo,F,3701.02,3.54,2394.62,Intercontinental Leaf Tobacco,0.1,676.7,1045.8,H2,2353.7,1,0.780928
G00042,Mashonaland Central,F,1237.99,2.36,1832.28,Curverid Tobacco (Pvt) Ltd,0.3,776.3,524.5,T1,2172.5,1,0.41442
G00043,Matabeleland South,M,18343.02,2.32,2936.05,Northern Tobacco (Pvt) Ltd,0.5,1265.5,7906.1,L1,3499.2,0,0.728361
G00044,Mashonaland Central,F,6955.19,10.67,11019.71,Tobacco Sales Company (TSC),0.5,1033.0,652.0,L4,9651.5,0,0.188538
G00045,Mashonaland Central,F,1362.63,6.18,6289.53,Aqua Tobacco (Pvt) Ltd,0.0,1017.7,220.5,L1,7045.9,0,0.021375
G00046,Manicaland,M,772.61,5.19,2458.12,Intercontinental Leaf Tobacco,0.0,474.0,149.0,L2,2340.9,1,0.387687
G00047,Mashonaland Central,F,309.72,1.18,850.21,Premium Leaf Zimbabwe,0.0,723.2,263.5,B2,872.9,0,0.428643
G00048,Masvingo,F,10744.05,4.65,2991.42,Universal Leaf / ZLT,1.0,643.7,2311.8,L4,2482.6,1,0.99
G00049,Mashonaland West,F,2900.12,7.27,11532.0,Mashonaland Tobacco Company (MTC),0.7,1587.1,399.1,B1,12019.6,0,0.295272
G00050,Matabeleland South,F,404.38,10.2,6202.52,Shasha Tobacco (Pvt) Ltd,0.1,608.1,39.6,L2,5346.6,1,0.548552
G00051,Manicaland,F,335.58,5.3,3093.79,Aqua Tobacco (Pvt) Ltd,0.5,584.2,63.4,X1,3632.8,0,0.24828
G00052,Manicaland,M,247.76,2.98,3133.13,Tobacco Sales Company (TSC),0.3,1050.2,83.0,L5,3371.4,0,0.042049
G00053,Mashonaland Central,M,705.22,5.67,1234.56,Cut Rag Processors,0.1,217.6,124.3,T2,1163.9,0,0.14166
G00054,Manicaland,M,1216.31,8.32,6844.31,Curverid Tobacco (Pvt) Ltd,0.3,823.0,146.3,X5,8144.1,0,0.044741
G00055,Mashonaland Central,M,2367.24,4.08,1762.9,Intercontinental Leaf Tobacco,0.2,431.6,579.6,A2,1803.3,1,0.489315
G00056,Mashonaland Central,M,769.67,3.54,2605.19,Cut Rag Processors,0.1,735.4,217.3,C1,3059.6,1,0.203692
G00057,Mashonaland West,M,380.0,5.32,2119.05,Mashonaland Tobacco Company (MTC),0.5,398.3,71.4,X2,2263.3,0,0.652141
G00058,Masvingo,F,430.33,3.15,3646.55,Shasha Tobacco (Pvt) Ltd,0.0,1156.7,136.5,X1,3633.8,0,0.164332
G00059,Manicaland,M,22149.02,6.38,5701.96,Intercontinental Leaf Tobacco,0.1,894.1,3473.3,A1,6002.3,1,0.418759
