farmer_id,contracted_merchant_id,contracted_quantity_kg,contracted_price_per_kg,delivered_to_contractor_kg,delivered_to_others_kg,delivery_ratio,distance_to_contractor_km,distance_to_alternative_km,alternative_price_premium,farmer_debt_level_usd,contractor_support_score,harvest_season,is_side_buying
F00000,M040,2477.55,2.94,2224.08,221.47,0.898,5.2,16.0,0.0,100.1,53.8,early,0
F00001,M197,860.53,4.6,860.53,73.06,1.0,20.7,99.8,0.0,48.91,51.8,early,0
F00002,M118,1457.44,4.54,1309.24,188.02,0.898,33.7,36.0,0.0,249.05,90.5,early,0
F00003,M148,4160.21,3.79,4160.21,379.08,1.0,8.1,6.9,0.0,2250.16,67.3,late,0
F00004,M050,1929.62,2.9,1216.95,509.07,0.631,2.6,4.2,0.165,377.69,91.8,early,1
F00005,M067,2107.73,4.16,1233.23,1055.37,0.585,48.2,8.0,0.263,662.7,67.3,late,1
F00006,M042,571.3,2.66,347.31,267.6,0.608,3.8,13.3,0.194,2028.04,54.4,mid,1
F00007,M037,2190.39,2.86,2190.39,182.67,1.0,36.6,3.3,0.0,274.74,78.4,mid,0
F00008,M120,1504.12,3.41,1192.29,250.14,0.793,7.4,18.8,0.247,733.51,72.5,early,1
F00009,M185,2517.82,3.68,1203.82,876.57,0.478,1.6,20.1,0.219,226.4,66.0,mid,1
F00010,M049,1839.49,4.03,1839.49,116.48,1.0,11.6,25.8,0.0,434.74,99.2,late,0
F00011,M087,2469.17,3.99,2469.17,225.11,1.0,27.0,16.5,0.0,127.77,96.5,early,0
F00012,M150,2776.67,4.82,2322.97,298.06,0.837,65.0,1.0,0.0,124.86,68.1,mid,0
F00013,M174,1188.07,3.62,243.72,474.61,0.205,5.7,8.1,0.185,177.1,99.6,early,1
F00014,M139,2114.14,2.32,2114.14,0.0,1.0,5.0,5.6,0.0,1111.63,71.3,early,0
F00015,M164,2879.04,3.11,2582.9,276.81,0.897,27.5,47.0,0.0,811.51,59.4,late,0
F00016,M008,1893.69,3.22,1844.53,0.0,0.974,20.3,32.1,0.0,133.44,64.5,mid,0
F00017,M198,3223.96,2.99,2910.25,0.0,0.903,1.0,3.0,0.0,757.62,41.5,late,0
F00018,M006,2287.04,3.86,2084.96,113.44,0.912,45.6,3.1,0.0,700.63,81.4,early,0
